委托日期,id,买卖方向,委托数量,委托日期,开平仓,证券代码
2020-06-01 09:36:00.000,1,卖,100,2020-06-01 09:36:00.000,开仓,600037
2020-06-01 09:36:00.000,2,买,100,2020-06-01 09:36:00.000,开仓,600037
2020-06-01 09:36:00.000,3,卖,100,2020-06-01 09:36:00.000,开仓,600079
2020-06-01 09:36:03.000,4,卖,100,2020-06-01 09:36:03.000,开仓,600037
2020-06-01 09:36:03.000,5,买,100,2020-06-01 09:36:03.000,开仓,600037
2020-06-01 09:36:03.000,6,卖,100,2020-06-01 09:36:03.000,开仓,600161
2020-06-01 09:36:03.000,7,买,100,2020-06-01 09:36:03.000,开仓,600259
2020-06-01 09:36:03.000,8,卖,100,2020-06-01 09:36:03.000,开仓,600260
2020-06-01 09:36:06.000,9,卖,100,2020-06-01 09:36:06.000,开仓,600037
2020-06-01 09:36:06.000,10,买,100,2020-06-01 09:36:06.000,开仓,600037
2020-06-01 09:36:06.000,11,买,100,2020-06-01 09:36:06.000,开仓,600053
2020-06-01 09:36:09.000,12,卖,100,2020-06-01 09:36:09.000,开仓,600037
2020-06-01 09:36:09.000,13,买,100,2020-06-01 09:36:09.000,开仓,600037
2020-06-01 09:36:09.000,14,卖,100,2020-06-01 09:36:09.000,开仓,600073
2020-06-01 09:36:09.000,15,买,100,2020-06-01 09:36:09.000,开仓,600258
2020-06-01 09:36:09.000,16,卖,100,2020-06-01 09:36:09.000,开仓,600259
2020-06-01 09:36:12.000,17,卖,100,2020-06-01 09:36:12.000,开仓,600037
2020-06-01 09:36:12.000,18,买,100,2020-06-01 09:36:12.000,开仓,600037
2020-06-01 09:36:12.000,19,卖,100,2020-06-01 09:36:12.000,开仓,600073
2020-06-01 09:36:15.000,20,卖,100,2020-06-01 09:36:15.000,开仓,600037
2020-06-01 09:36:15.000,21,买,100,2020-06-01 09:36:15.000,开仓,600037
2020-06-01 09:36:18.000,22,卖,100,2020-06-01 09:36:18.000,开仓,600037
2020-06-01 09:36:18.000,23,买,100,2020-06-01 09:36:18.000,开仓,600037
2020-06-01 09:36:18.000,24,卖,100,2020-06-01 09:36:18.000,开仓,600073
2020-06-01 09:36:18.000,25,卖,100,2020-06-01 09:36:18.000,开仓,600143
2020-06-01 09:36:18.000,26,卖,100,2020-06-01 09:36:18.000,平仓,600258
2020-06-01 09:36:21.000,27,卖,100,2020-06-01 09:36:21.000,开仓,600037
2020-06-01 09:36:21.000,28,买,100,2020-06-01 09:36:21.000,开仓,600037
2020-06-01 09:36:21.000,29,卖,100,2020-06-01 09:36:21.000,开仓,600132
2020-06-01 09:36:21.000,30,卖,100,2020-06-01 09:36:21.000,开仓,600161
2020-06-01 09:36:21.000,31,卖,100,2020-06-01 09:36:21.000,开仓,600258
2020-06-01 09:36:24.000,32,卖,100,2020-06-01 09:36:24.000,开仓,600037
2020-06-01 09:36:24.000,33,买,100,2020-06-01 09:36:24.000,开仓,600037
2020-06-01 09:36:27.000,34,卖,100,2020-06-01 09:36:27.000,开仓,600037
2020-06-01 09:36:27.000,35,买,100,2020-06-01 09:36:27.000,开仓,600037
2020-06-01 09:36:27.000,36,卖,100,2020-06-01 09:36:27.000,开仓,600132
2020-06-01 09:36:27.000,37,买,100,2020-06-01 09:36:27.000,开仓,600138
2020-06-01 09:36:27.000,38,卖,100,2020-06-01 09:36:27.000,开仓,600201
2020-06-01 09:36:30.000,39,卖,100,2020-06-01 09:36:30.000,开仓,600037
2020-06-01 09:36:30.000,40,买,100,2020-06-01 09:36:30.000,开仓,600037
2020-06-01 09:36:30.000,41,卖,100,2020-06-01 09:36:30.000,开仓,600216
2020-06-01 09:36:33.000,42,卖,100,2020-06-01 09:36:33.000,开仓,600037
2020-06-01 09:36:33.000,43,买,100,2020-06-01 09:36:33.000,开仓,600037
2020-06-01 09:36:33.000,44,卖,100,2020-06-01 09:36:33.000,开仓,600062
2020-06-01 09:36:33.000,45,买,100,2020-06-01 09:36:33.000,开仓,600161
2020-06-01 09:36:33.000,46,买,100,2020-06-01 09:36:33.000,平仓,600161
2020-06-01 09:36:33.000,47,卖,100,2020-06-01 09:36:33.000,开仓,600315
2020-06-01 09:36:36.000,48,卖,100,2020-06-01 09:36:36.000,开仓,600037
2020-06-01 09:36:36.000,49,买,100,2020-06-01 09:36:36.000,开仓,600037
2020-06-01 09:36:36.000,50,买,100,2020-06-01 09:36:36.000,开仓,600161
2020-06-01 09:36:36.000,51,买,100,2020-06-01 09:36:36.000,开仓,600259
2020-06-01 09:36:36.000,52,买,100,2020-06-01 09:36:36.000,平仓,600259
2020-06-01 09:36:36.000,53,卖,100,2020-06-01 09:36:36.000,开仓,600315
2020-06-01 09:36:39.000,54,卖,100,2020-06-01 09:36:39.000,开仓,600037
2020-06-01 09:36:39.000,55,买,100,2020-06-01 09:36:39.000,开仓,600037
2020-06-01 09:36:39.000,56,卖,100,2020-06-01 09:36:39.000,开仓,600143
2020-06-01 09:36:42.000,57,卖,100,2020-06-01 09:36:42.000,开仓,600037
2020-06-01 09:36:42.000,58,买,100,2020-06-01 09:36:42.000,开仓,600037
2020-06-01 09:36:42.000,59,卖,100,2020-06-01 09:36:42.000,开仓,600060
2020-06-01 09:36:42.000,60,买,100,2020-06-01 09:36:42.000,平仓,600132
2020-06-01 09:36:42.000,61,卖,100,2020-06-01 09:36:42.000,开仓,600258
2020-06-01 09:36:42.000,62,买,100,2020-06-01 09:36:42.000,开仓,600260
2020-06-01 09:36:42.000,63,买,100,2020-06-01 09:36:42.000,平仓,600260
2020-06-01 09:36:45.000,64,卖,100,2020-06-01 09:36:45.000,开仓,600037
2020-06-01 09:36:45.000,65,买,100,2020-06-01 09:36:45.000,开仓,600037
2020-06-01 09:36:45.000,66,买,100,2020-06-01 09:36:45.000,开仓,600053
2020-06-01 09:36:45.000,67,卖,100,2020-06-01 09:36:45.000,开仓,600161
2020-06-01 09:36:45.000,68,卖,100,2020-06-01 09:36:45.000,平仓,600161
2020-06-01 09:36:45.000,69,买,100,2020-06-01 09:36:45.000,平仓,600201
2020-06-01 09:36:45.000,70,买,100,2020-06-01 09:36:45.000,开仓,600260
2020-06-01 09:36:45.000,71,卖,100,2020-06-01 09:36:45.000,开仓,600315
2020-06-01 09:36:48.000,72,卖,100,2020-06-01 09:36:48.000,开仓,600037
2020-06-01 09:36:48.000,73,买,100,2020-06-01 09:36:48.000,开仓,600037
2020-06-01 09:36:48.000,74,卖,100,2020-06-01 09:36:48.000,开仓,600161
2020-06-01 09:36:48.000,75,买,100,2020-06-01 09:36:48.000,开仓,600260
2020-06-01 09:36:48.000,76,卖,100,2020-06-01 09:36:48.000,开仓,600315
2020-06-01 09:36:51.000,77,卖,100,2020-06-01 09:36:51.000,开仓,600037
2020-06-01 09:36:51.000,78,买,100,2020-06-01 09:36:51.000,开仓,600037
2020-06-01 09:36:51.000,79,卖,100,2020-06-01 09:36:51.000,开仓,600171
2020-06-01 09:36:51.000,80,卖,100,2020-06-01 09:36:51.000,开仓,600195
2020-06-01 09:36:54.000,81,卖,100,2020-06-01 09:36:54.000,开仓,600037
2020-06-01 09:36:54.000,82,买,100,2020-06-01 09:36:54.000,开仓,600037
2020-06-01 09:36:54.000,83,卖,100,2020-06-01 09:36:54.000,开仓,600155
2020-06-01 09:36:54.000,84,买,100,2020-06-01 09:36:54.000,平仓,600258
2020-06-01 09:36:54.000,85,卖,100,2020-06-01 09:36:54.000,开仓,600315
2020-06-01 09:36:57.000,86,卖,100,2020-06-01 09:36:57.000,开仓,600037
2020-06-01 09:36:57.000,87,买,100,2020-06-01 09:36:57.000,开仓,600037
2020-06-01 09:36:57.000,88,卖,100,2020-06-01 09:36:57.000,开仓,600053
2020-06-01 09:36:57.000,89,卖,100,2020-06-01 09:36:57.000,平仓,600053
2020-06-01 09:36:57.000,90,卖,100,2020-06-01 09:36:57.000,平仓,600260
2020-06-01 09:36:57.000,91,卖,100,2020-06-01 09:36:57.000,开仓,600315
2020-06-01 09:37:00.000,92,卖,100,2020-06-01 09:37:00.000,开仓,600037
2020-06-01 09:37:00.000,93,买,100,2020-06-01 09:37:00.000,开仓,600037
