,初始持仓股票资产,初始持仓资产,初始现金,总资产,手续费,现金,股票资产
2020-06-01 09:36:00.000,6357700.0,6357700.0,0.0,6357692.54,7.46,2403.54,6355289.0
2020-06-01 09:36:03.000,6356500.0,6356500.0,0.0,6356475.09,15.45,7724.09,6348751.0
2020-06-01 09:36:06.000,6356800.0,6356800.0,0.0,6356778.09,5.0,5142.09,6351636.0
2020-06-01 09:36:09.000,6352600.0,6352600.0,0.0,6352564.78,19.31,7644.78,6344920.0
2020-06-01 09:36:12.000,6351700.0,6351700.0,0.0,6351659.84,5.94,8561.84,6343098.0
2020-06-01 09:36:18.000,6350200.0,6350200.0,0.0,6350134.91,18.93,12404.91,6337730.0
2020-06-01 09:36:21.000,6348700.0,6348700.0,0.0,6348609.85,27.06,24202.85,6324407.0
2020-06-01 09:36:27.000,6348500.0,6348500.0,0.0,6348397.04,23.81,31811.04,6316586.0
2020-06-01 09:36:30.000,6345900.0,6345900.0,0.0,6345820.39,6.65,33429.39,6312391.0
2020-06-01 09:36:33.000,6347200.0,6347200.0,0.0,6347088.13,20.26,30690.13,6316398.0
2020-06-01 09:36:36.000,6348400.0,6348400.0,0.0,6348247.15,18.98,24024.15,6324223.0
2020-06-01 09:36:39.000,6347100.0,6347100.0,0.0,6346948.89,6.26,25256.89,6321692.0
2020-06-01 09:36:42.000,6346400.0,6346400.0,0.0,6346238.76,23.13,19319.76,6326919.0
2020-06-01 09:36:45.000,6344000.0,6344000.0,0.0,6343811.76,37.0,24622.76,6319189.0
2020-06-01 09:36:48.000,6342600.0,6342600.0,0.0,6342408.77,22.99,31025.77,6311383.0
2020-06-01 09:36:51.000,6344400.0,6344400.0,0.0,6344190.47,13.3,34241.47,6309949.0
2020-06-01 09:36:54.000,6342800.0,6342800.0,0.0,6342556.34,20.13,37561.34,6304995.0
2020-06-01 09:36:57.000,6340200.0,6340200.0,0.0,6339957.71,25.63,47953.71,6292004.0
2020-06-01 09:37:00.000,6340600.0,6340600.0,0.0,6340337.28,6.43,49343.28,6290994.0
2020-06-01 09:37:06.000,6340500.0,6340500.0,0.0,6340216.67,34.61,58722.67,6281494.0
2020-06-01 09:37:09.000,6339900.0,6339900.0,0.0,6339599.29,15.38,63970.29,6275629.0
2020-06-01 09:37:12.000,6341200.0,6341200.0,0.0,6340836.94,20.35,67495.94,6273341.0
2020-06-01 09:37:15.000,6341200.0,6341200.0,0.0,6340808.55,25.39,66566.55,6274242.0
2020-06-01 09:37:18.000,6340600.0,6340600.0,0.0,6340216.68,12.87,69361.68,6270855.0
2020-06-01 09:37:21.000,6340800.0,6340800.0,0.0,6340347.21,15.47,74700.21,6265647.0
2020-06-01 09:37:24.000,6342000.0,6342000.0,0.0,6341508.21,5.0,70793.21,6270715.0
2020-06-01 09:37:27.000,6342400.0,6342400.0,0.0,6341865.61,28.6,75245.61,6266620.0
2020-06-01 09:37:30.000,6341300.0,6341300.0,0.0,6340776.41,22.2,81049.41,6259727.0
2020-06-01 09:37:33.000,6339700.0,6339700.0,0.0,6339177.12,19.29,82750.12,6256427.0
2020-06-01 09:37:36.000,6337900.0,6337900.0,0.0,6337383.7,6.42,84136.7,6253247.0
2020-06-01 09:37:39.000,6335700.0,6335700.0,0.0,6335225.7,10.0,78698.7,6256527.0
2020-06-01 09:37:42.000,6339300.0,6339300.0,0.0,6338751.67,14.03,77734.67,6261017.0
2020-06-01 09:37:45.000,6337300.0,6337300.0,0.0,6336793.22,31.45,87397.22,6249396.0
2020-06-01 09:37:48.000,6336700.0,6336700.0,0.0,6336182.66,6.56,88916.66,6247266.0
2020-06-01 09:37:54.000,6336000.0,6336000.0,0.0,6335497.57,24.09,97808.57,6237689.0
2020-06-01 09:38:00.000,6336900.0,6336900.0,0.0,6336323.2,23.37,91992.2,6244331.0
2020-06-01 09:38:03.000,6336300.0,6336300.0,0.0,6335750.83,18.37,92016.83,6243734.0
2020-06-01 09:38:06.000,6336800.0,6336800.0,0.0,6336194.53,12.3,94271.53,6241923.0
2020-06-01 09:38:09.000,6336400.0,6336400.0,0.0,6335813.85,11.68,95900.85,6239913.0
2020-06-01 09:38:12.000,6336900.0,6336900.0,0.0,6336262.42,12.43,92119.42,6244143.0
2020-06-01 09:38:15.000,6336600.0,6336600.0,0.0,6335947.78,15.64,85663.78,6250284.0
2020-06-01 09:38:18.000,6336000.0,6336000.0,0.0,6335342.52,11.26,85922.52,6249420.0
2020-06-01 09:38:21.000,6338200.0,6338200.0,0.0,6337485.79,11.73,83704.79,6253781.0
2020-06-01 09:38:24.000,6337500.0,6337500.0,0.0,6336783.79,5.0,80396.79,6256387.0
2020-06-01 09:38:27.000,6337300.0,6337300.0,0.0,6336579.79,5.0,78702.79,6257877.0
2020-06-01 09:38:30.000,6337800.0,6337800.0,0.0,6337060.41,16.38,78009.41,6259051.0
2020-06-01 09:38:33.000,6337200.0,6337200.0,0.0,6336450.8,17.61,76962.8,6259488.0
2020-06-01 09:38:36.000,6337600.0,6337600.0,0.0,6336836.8,10.0,69879.8,6266957.0
2020-06-01 09:38:39.000,6338400.0,6338400.0,0.0,6337603.8,15.0,60128.8,6277475.0
2020-06-01 09:38:42.000,6337900.0,6337900.0,0.0,6337101.8,10.0,54823.8,6282278.0
2020-06-01 09:38:45.000,6338300.0,6338300.0,0.0,6337497.8,5.0,48206.8,6289291.0
2020-06-01 09:38:51.000,6337700.0,6337700.0,0.0,6336898.37,23.43,49538.37,6287360.0
2020-06-01 09:38:54.000,6337800.0,6337800.0,0.0,6336981.42,15.95,40985.42,6295996.0
2020-06-01 09:38:57.000,6337200.0,6337200.0,0.0,6336371.47,10.95,40273.47,6296098.0
2020-06-01 09:39:00.000,6336300.0,6336300.0,0.0,6335482.47,5.0,38873.47,6296609.0
2020-06-01 09:39:03.000,6335500.0,6335500.0,0.0,6334682.86,15.61,44355.86,6290327.0
2020-06-01 09:39:09.000,6336600.0,6336600.0,0.0,6335762.91,10.95,43904.91,6291858.0
2020-06-01 09:39:12.000,6337800.0,6337800.0,0.0,6336942.89,9.02,47832.89,6289110.0
2020-06-01 09:39:15.000,6338800.0,6338800.0,0.0,6337909.94,20.95,40177.94,6297732.0
2020-06-01 09:39:18.000,6338100.0,6338100.0,0.0,6337197.99,10.95,40245.99,6296952.0
2020-06-01 09:39:21.000,6337600.0,6337600.0,0.0,6336699.99,5.0,35330.99,6301369.0
2020-06-01 09:39:24.000,6337800.0,6337800.0,0.0,6336888.99,5.0,33954.99,6302934.0
2020-06-01 09:39:30.000,6338400.0,6338400.0,0.0,6337485.16,10.83,32298.16,6305187.0
2020-06-01 09:39:33.000,6338100.0,6338100.0,0.0,6337166.73,21.43,27362.73,6309804.0
2020-06-01 09:39:36.000,6339800.0,6339800.0,0.0,6338843.73,10.0,17504.73,6321339.0
2020-06-01 09:39:39.000,6339900.0,6339900.0,0.0,6338934.73,5.0,15718.73,6323216.0
2020-06-01 09:39:45.000,6340300.0,6340300.0,0.0,6339322.3,21.43,13008.3,6326314.0
2020-06-01 09:39:48.000,6341300.0,6341300.0,0.0,6340300.79,12.51,14081.79,6326219.0
2020-06-01 09:39:51.000,6341100.0,6341100.0,0.0,6340092.79,5.0,11514.79,6328578.0
2020-06-01 09:39:57.000,6342500.0,6342500.0,0.0,6341486.79,5.0,10056.79,6331430.0
2020-06-01 09:40:00.000,6342700.0,6342700.0,0.0,6341665.79,10.0,6748.79,6334917.0
2020-06-01 09:40:03.000,6345200.0,6345200.0,0.0,6344171.79,5.0,3835.79,6340336.0
2020-06-01 09:40:06.000,6345100.0,6345100.0,0.0,6344055.24,16.55,3487.24,6340568.0
2020-06-01 09:40:09.000,6345500.0,6345500.0,0.0,6344427.97,21.27,6811.97,6337616.0
2020-06-01 09:40:12.000,6344500.0,6344500.0,0.0,6343426.93,11.04,6568.93,6336858.0
2020-06-01 09:40:15.000,6345500.0,6345500.0,0.0,6344395.95,13.98,8923.95,6335472.0
2020-06-01 09:40:21.000,6341000.0,6341000.0,0.0,6339904.08,10.87,8413.08,6331491.0
2020-06-01 09:40:24.000,6340300.0,6340300.0,0.0,6339186.57,12.51,10246.57,6328940.0
2020-06-01 09:40:27.000,6339000.0,6339000.0,0.0,6337891.57,5.0,9630.57,6328261.0
2020-06-01 09:40:30.000,6336900.0,6336900.0,0.0,6335770.8,21.77,7759.8,6328011.0
2020-06-01 09:40:33.000,6335800.0,6335800.0,0.0,6334668.8,5.0,7143.8,6327525.0
2020-06-01 09:40:36.000,6333600.0,6333600.0,0.0,6332462.29,12.51,8975.29,6323487.0
2020-06-01 09:40:39.000,6333600.0,6333600.0,0.0,6332431.18,20.11,13353.18,6319078.0
2020-06-01 09:40:42.000,6332600.0,6332600.0,0.0,6331428.57,12.61,15287.57,6316141.0
2020-06-01 09:40:45.000,6334000.0,6334000.0,0.0,6332774.6,39.97,29310.6,6303464.0
2020-06-01 09:40:48.000,6333500.0,6333500.0,0.0,6332258.21,8.39,32620.21,6299638.0
2020-06-01 09:40:51.000,6335400.0,6335400.0,0.0,6334117.67,18.54,35135.67,6298982.0
2020-06-01 09:40:54.000,6333800.0,6333800.0,0.0,6332531.72,24.95,39026.72,6293505.0
2020-06-01 09:40:57.000,6335100.0,6335100.0,0.0,6333781.67,14.05,42986.67,6290795.0
2020-06-01 09:41:00.000,6333000.0,6333000.0,0.0,6331718.14,20.53,36158.14,6295560.0
2020-06-01 09:41:06.000,6335200.0,6335200.0,0.0,6333845.83,22.31,43297.83,6290548.0
2020-06-01 09:41:15.000,6335900.0,6335900.0,0.0,6334530.67,11.16,42901.67,6291629.0
2020-06-01 09:41:21.000,6336800.0,6336800.0,0.0,6335443.67,10.0,35239.67,6300204.0
2020-06-01 09:41:24.000,6337000.0,6337000.0,0.0,6335639.26,11.41,30475.26,6305164.0
2020-06-01 09:41:27.000,6337700.0,6337700.0,0.0,6336312.85,11.41,25705.85,6310607.0
2020-06-01 09:41:30.000,6338300.0,6338300.0,0.0,6336867.76,15.09,30677.76,6306190.0
2020-06-01 09:41:33.000,6339400.0,6339400.0,0.0,6337978.76,15.0,17571.76,6320407.0
2020-06-01 09:41:36.000,6339000.0,6339000.0,0.0,6337564.76,10.0,6953.76,6330611.0
2020-06-01 09:41:42.000,6341100.0,6341100.0,0.0,6339695.45,19.31,2653.45,6337042.0
2020-06-01 09:41:45.000,6339600.0,6339600.0,0.0,6338202.45,19.0,3044.45,6335158.0
2020-06-01 09:41:48.000,6340800.0,6340800.0,0.0,6339391.45,5.0,1011.45,6338380.0
2020-06-01 09:41:54.000,6339200.0,6339200.0,0.0,6337803.9,6.55,2527.9,6335276.0
2020-06-01 09:41:57.000,6340000.0,6340000.0,0.0,6338579.9,5.0,1128.9,6337451.0
2020-06-01 09:42:12.000,6342000.0,6342000.0,0.0,6340605.66,11.24,1690.66,6338915.0
2020-06-01 09:42:15.000,6342200.0,6342200.0,0.0,6340786.42,11.24,1523.42,6339263.0
2020-06-01 09:42:18.000,6343700.0,6343700.0,0.0,6342252.81,24.61,3707.81,6338545.0
