,初始持仓股票资产,初始持仓资产,初始现金,总资产,手续费,现金,股票资产
2020-06-02 09:36:03.000,2921400.0,2921400.0,0.0,2921392.11,7.89,2820.11,2918572.0
2020-06-02 09:36:09.000,2919500.0,2919500.0,0.0,2919502.11,5.0,1949.11,2917553.0
2020-06-02 09:36:12.000,2917700.0,2917700.0,0.0,2917700.05,16.06,6562.05,2911138.0
2020-06-02 09:36:15.000,2916400.0,2916400.0,0.0,2916385.05,15.0,939.05,2915446.0
2020-06-02 09:36:18.000,2915600.0,2915600.0,0.0,2915581.98,7.07,2963.98,2912618.0
2020-06-02 09:36:21.000,2914600.0,2914600.0,0.0,2914574.92,21.06,5225.92,2909349.0
2020-06-02 09:36:24.000,2914300.0,2914300.0,0.0,2914260.15,11.77,5641.15,2908619.0
2020-06-02 09:36:27.000,2914900.0,2914900.0,0.0,2914851.15,5.0,3287.15,2911564.0
2020-06-02 09:36:30.000,2914300.0,2914300.0,0.0,2914255.15,10.0,674.15,2913581.0
2020-06-02 09:36:42.000,2913400.0,2913400.0,0.0,2913317.31,7.84,3450.31,2909867.0
2020-06-02 09:36:45.000,2913100.0,2913100.0,0.0,2913012.31,10.0,-1075.69,2914088.0
2020-06-02 09:37:06.000,2915600.0,2915600.0,0.0,2915454.92,7.39,1255.92,2914199.0
2020-06-02 09:37:09.000,2916100.0,2916100.0,0.0,2915935.06,7.86,4044.06,2911891.0
2020-06-02 09:37:15.000,2915100.0,2915100.0,0.0,2914956.19,6.87,5863.19,2909093.0
2020-06-02 09:37:18.000,2916500.0,2916500.0,0.0,2916336.19,5.0,4545.19,2911791.0
2020-06-02 09:37:21.000,2916300.0,2916300.0,0.0,2916153.19,5.0,2529.19,2913624.0
2020-06-02 09:37:24.000,2917100.0,2917100.0,0.0,2916924.19,10.0,-1333.81,2918258.0
2020-06-02 09:38:00.000,2919000.0,2919000.0,0.0,2918841.29,5.9,-460.71,2919302.0
2020-06-02 09:38:18.000,2922100.0,2922100.0,0.0,2921913.23,7.06,1551.23,2920362.0
2020-06-02 09:38:24.000,2922400.0,2922400.0,0.0,2922219.17,7.06,3563.17,2918656.0
2020-06-02 09:38:27.000,2922500.0,2922500.0,0.0,2922300.32,12.85,4005.32,2918295.0
2020-06-02 09:38:30.000,2922300.0,2922300.0,0.0,2922099.26,7.06,6015.26,2916084.0
2020-06-02 09:38:33.000,2922500.0,2922500.0,0.0,2922287.41,17.85,4514.41,2917773.0
2020-06-02 09:38:39.000,2922700.0,2922700.0,0.0,2922526.35,12.06,4584.35,2917942.0
2020-06-02 09:38:42.000,2922400.0,2922400.0,0.0,2922218.29,17.06,1869.29,2920349.0
2020-06-02 09:38:51.000,2924600.0,2924600.0,0.0,2924416.17,14.12,5894.17,2918522.0
2020-06-02 09:38:54.000,2922100.0,2922100.0,0.0,2921961.17,5.0,3543.17,2918418.0
2020-06-02 09:38:57.000,2922800.0,2922800.0,0.0,2922612.28,14.89,8315.28,2914297.0
2020-06-02 09:39:00.000,2923100.0,2923100.0,0.0,2922941.28,5.0,5962.28,2916979.0
2020-06-02 09:39:03.000,2923500.0,2923500.0,0.0,2923345.39,6.89,7810.39,2915535.0
2020-06-02 09:39:06.000,2924700.0,2924700.0,0.0,2924533.5,11.89,3664.5,2920869.0
2020-06-02 09:39:09.000,2923700.0,2923700.0,0.0,2923549.5,5.0,904.5,2922645.0
2020-06-02 09:39:12.000,2924200.0,2924200.0,0.0,2924049.61,6.89,2746.61,2921303.0
2020-06-02 09:39:18.000,2922000.0,2922000.0,0.0,2921875.61,5.0,391.61,2921484.0
2020-06-02 09:39:24.000,2923000.0,2923000.0,0.0,2922885.73,6.88,2228.73,2920657.0
2020-06-02 09:39:27.000,2922900.0,2922900.0,0.0,2922755.49,18.24,3445.49,2919310.0
2020-06-02 09:39:33.000,2923100.0,2923100.0,0.0,2922913.6,6.89,5286.6,2917627.0
2020-06-02 09:39:45.000,2923700.0,2923700.0,0.0,2923502.6,5.0,1221.6,2922281.0
2020-06-02 09:39:57.000,2926200.0,2926200.0,0.0,2925979.6,5.0,962.6,2925017.0
2020-06-02 09:40:00.000,2926800.0,2926800.0,0.0,2926550.41,15.19,6035.41,2920515.0
2020-06-02 09:40:06.000,2923400.0,2923400.0,0.0,2923230.41,5.0,4004.41,2919226.0
2020-06-02 09:40:09.000,2923600.0,2923600.0,0.0,2923391.44,16.97,2049.44,2921342.0
2020-06-02 09:40:15.000,2925600.0,2925600.0,0.0,2925356.44,5.0,194.44,2925162.0
2020-06-02 09:40:24.000,2923400.0,2923400.0,0.0,2923109.09,6.35,1508.09,2921601.0
2020-06-02 09:40:30.000,2920100.0,2920100.0,0.0,2919825.98,11.11,7484.98,2912341.0
2020-06-02 09:40:33.000,2920500.0,2920500.0,0.0,2920195.01,6.97,9407.01,2910788.0
2020-06-02 09:40:42.000,2918900.0,2918900.0,0.0,2918589.04,11.97,9471.04,2909118.0
2020-06-02 09:40:45.000,2918400.0,2918400.0,0.0,2918091.04,5.0,4006.04,2914085.0
2020-06-02 09:40:48.000,2918700.0,2918700.0,0.0,2918391.04,5.0,1271.04,2917120.0
2020-06-02 09:40:54.000,2918600.0,2918600.0,0.0,2918292.68,14.36,5527.68,2912765.0
