,买卖方向,交易所,佣金,净成交额,印花税,成交价格,成交数量,成交日期,成交状态,成交额,证券代码,过户费
000008,卖,Sim,5,10777.890000000001,10.79,2.99,3610,2020-06-02 09:36:00.000,成交,10793.900000000001,000008,0.22
000009,卖,Sim,5,1204.17,1.21,7.12,170,2020-06-02 09:36:00.000,成交,1210.4,000009,0.02
000012,卖,Sim,5,11589.56,11.61,4.68,2480,2020-06-02 09:36:00.000,成交,11606.4,000012,0.23
000021,卖,Sim,9.3,30966.670000000006,31.01,23.14,1340,2020-06-02 09:36:00.000,成交,31007.600000000002,000021,0.62
000025,卖,Sim,5,4190.52,4.2,18.26,230,2020-06-02 09:36:00.000,成交,4199.8,000025,0.08
000027,卖,Sim,5,14526.56,14.55,5.51,2640,2020-06-02 09:36:00.000,成交,14546.4,000027,0.29
000028,卖,Sim,5,2008.44,2.02,40.31,50,2020-06-02 09:36:00.000,成交,2015.5,000028,0.04
000031,卖,Sim,5,12117.03,12.13,5.12,2370,2020-06-02 09:36:00.000,成交,12134.4,000031,0.24
000039,卖,Sim,5,14019.179999999998,14.04,7.35,1910,2020-06-02 09:36:00.000,成交,14038.5,000039,0.28
000046,卖,Sim,5,10187.599999999999,10.2,3.58,2850,2020-06-02 09:36:00.000,成交,10203.0,000046,0.2
000050,卖,Sim,5,716.27,0.72,14.44,50,2020-06-02 09:36:00.000,成交,722.0,000050,0.01
000060,卖,Sim,5,16151.31,16.17,3.61,4480,2020-06-02 09:36:00.000,成交,16172.8,000060,0.32
000061,卖,Sim,5,9378.22,9.39,7.96,1180,2020-06-02 09:36:00.000,成交,9392.8,000061,0.19
000062,卖,Sim,5,6813.53,6.83,12.41,550,2020-06-02 09:36:00.000,成交,6825.5,000062,0.14
000078,卖,Sim,5,11488.07,11.5,3.94,2920,2020-06-02 09:36:00.000,成交,11504.8,000078,0.23
000089,卖,Sim,5,15331.34,15.35,8.08,1900,2020-06-02 09:36:00.000,成交,15352.0,000089,0.31
000090,卖,Sim,5,2405.54,2.41,6.35,380,2020-06-02 09:36:00.000,成交,2413.0,000090,0.05
000156,卖,Sim,5,12218.92,12.24,11.33,1080,2020-06-02 09:36:00.000,成交,12236.4,000156,0.24
000158,卖,Sim,5.26,17518.850000000002,17.54,9.8,1790,2020-06-02 09:36:00.000,成交,17542.0,000158,0.35
000301,卖,Sim,5,6014.45,6.03,5.38,1120,2020-06-02 09:36:00.000,成交,6025.599999999999,000301,0.12
000400,卖,Sim,5,389.69000000000005,0.4,13.17,30,2020-06-02 09:36:00.000,成交,395.1,000400,0.01
000401,卖,Sim,9.2,30627.12,30.67,17.83,1720,2020-06-02 09:36:00.000,成交,30667.6,000401,0.61
000402,卖,Sim,5,12592.79,12.61,6.69,1885,2020-06-02 09:36:00.000,成交,12610.650000000001,000402,0.25
000415,卖,Sim,5,1233.94,1.24,3.18,390,2020-06-02 09:36:00.000,成交,1240.2,000415,0.02
000488,卖,Sim,5,92.9,0.1,4.9,20,2020-06-02 09:36:00.000,成交,98.0,000488,0.0
000501,卖,Sim,5,11661.19,11.68,14.07,830,2020-06-02 09:36:00.000,成交,11678.1,000501,0.23
000513,卖,Sim,5,2444.7,2.45,40.87,60,2020-06-02 09:36:00.000,成交,2452.2,000513,0.05
000519,卖,Sim,5,11193.17,11.21,9.04,1240,2020-06-02 09:36:00.000,成交,11209.599999999999,000519,0.22
000528,卖,Sim,5,12592.14,12.61,6.5,1940,2020-06-02 09:36:00.000,成交,12610.0,000528,0.25
000537,卖,Sim,5,406.18,0.41,6.86,60,2020-06-02 09:36:00.000,成交,411.6,000537,0.01
000543,卖,Sim,5,8410.41,8.42,3.9,2160,2020-06-02 09:36:00.000,成交,8424.0,000543,0.17
000547,卖,Sim,9.73,32391.09,32.43,14.81,2190,2020-06-02 09:36:00.000,成交,32433.9,000547,0.65
000553,卖,Sim,5,8060.37,8.07,9.28,870,2020-06-02 09:36:00.000,成交,8073.599999999999,000553,0.16
000559,卖,Sim,5,11281.87,11.3,4.87,2320,2020-06-02 09:36:00.000,成交,11298.4,000559,0.23
000563,卖,Sim,5,11627.130000000001,11.64,3.55,3280,2020-06-02 09:36:00.000,成交,11644.0,000563,0.23
000581,卖,Sim,5,3366.0600000000004,3.37,19.85,170,2020-06-02 09:36:00.000,成交,3374.5000000000005,000581,0.07
000598,卖,Sim,5,15796.36,15.82,4.75,3330,2020-06-02 09:36:00.000,成交,15817.5,000598,0.32
000600,卖,Sim,5,825.4499999999999,0.83,4.89,170,2020-06-02 09:36:00.000,成交,831.3,000600,0.02
000623,卖,Sim,5,15778.680000000002,15.8,15.49,1020,2020-06-02 09:36:00.000,成交,15799.800000000001,000623,0.32
000629,卖,Sim,5,15187.890000000001,15.21,1.97,7720,2020-06-02 09:36:00.000,成交,15208.4,000629,0.3
000630,卖,Sim,7.79,25922.629999999997,25.96,1.91,13590,2020-06-02 09:36:00.000,成交,25956.899999999998,000630,0.52
000636,卖,Sim,10.33,34397.53999999999,34.44,26.7,1290,2020-06-02 09:36:00.000,成交,34443.0,000636,0.69
000681,卖,Sim,5,199.3,0.2,20.45,10,2020-06-02 09:36:00.000,成交,204.5,000681,0.0
000685,卖,Sim,5,10392.880000000001,10.41,7.71,1350,2020-06-02 09:36:00.000,成交,10408.5,000685,0.21
000686,卖,Sim,5,5869.0,5.88,8.4,700,2020-06-02 09:36:00.000,成交,5880.0,000686,0.12
000690,卖,Sim,5,15156.32,15.18,4.88,3110,2020-06-02 09:36:00.000,成交,15176.8,000690,0.3
000712,卖,Sim,5,757.4200000000001,0.76,12.72,60,2020-06-02 09:36:00.000,成交,763.2,000712,0.02
000717,卖,Sim,5,8446.37,8.46,3.76,2250,2020-06-02 09:36:00.000,成交,8460.0,000717,0.17
000718,卖,Sim,5,9004.8,9.02,3.11,2900,2020-06-02 09:36:00.000,成交,9019.0,000718,0.18
000729,卖,Sim,5,16082.98,16.1,6.52,2470,2020-06-02 09:36:00.000,成交,16104.4,000729,0.32
000732,卖,Sim,5,3733.3900000000003,3.74,4.62,810,2020-06-02 09:36:00.000,成交,3742.2000000000003,000732,0.07
