,000008,600167,600195,600216
2020-06-02 09:32:30.000,3.0,15.24,14.86,16.63
2020-06-02 09:32:33.000,3.0,15.23,14.86,16.63
2020-06-02 09:32:36.000,3.0,15.22,14.86,16.63
2020-06-02 09:32:39.000,3.0,15.22,14.86,16.63
2020-06-02 09:32:42.000,3.0,15.22,14.86,16.63
2020-06-02 09:32:45.000,3.0,15.22,14.86,16.63
2020-06-02 09:32:48.000,3.0,15.22,14.86,16.63
2020-06-02 09:32:51.000,3.0,15.22,14.86,16.63
2020-06-02 09:32:54.000,3.0,15.22,14.86,16.63
2020-06-02 09:32:57.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:00.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:03.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:06.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:09.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:12.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:15.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:18.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:21.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:24.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:27.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:30.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:33.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:36.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:39.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:42.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:45.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:48.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:51.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:54.000,3.0,15.22,14.86,16.63
2020-06-02 09:33:57.000,3.0,15.22,14.86,16.63
2020-06-02 09:34:00.000,3.0,15.22,14.86,16.63
2020-06-02 09:34:03.000,3.0,15.22,14.86,16.63
2020-06-02 09:34:06.000,3.0,15.22,14.86,16.63
