,bps,买成交数量,买成交额,卖成交数量,卖成交额
000008,-66.44518272425404,36100.0,108661.0,36100.0,107938.99999999999
000009,106.52192427486717,46700.0,328768.0,46700.0,332270.1
000012,-86.7793552174767,24800.0,117325.14,24800.0,116306.99999999999
000021,-290.0138397826002,15770.0,376450.99999999994,15770.0,365533.39999999997
000025,25.09873972153187,8870.0,161004.1,8870.0,161408.19999999995
000027,-34.30279080984033,26400.0,145964.8,26400.0,145464.09999999998
000028,14.711751069571566,9620.0,385243.06000000006,9620.0,385809.82000000007
000031,28.815840537703696,23700.0,121107.0,23700.0,121455.97999999998
000039,-69.4483891802744,19270.0,142595.1,19270.0,141604.8
000046,-45.828460038985774,28500.0,102600.0,28500.0,102129.8
000050,-204.91390968088385,33085.0,488649.6,33085.0,478636.49
000060,-53.529614325069645,44800.0,162624.0,44800.0,161753.47999999998
000061,-162.01958121168647,11800.0,95346.5,11800.0,93801.7
000062,10.591386248346435,10380.0,128510.09000000001,10380.0,128646.2
000078,-7.6142131979684,29200.0,115048.0,29200.0,114960.40000000001
000089,-18.667475958563664,38004.0,308022.36,38004.0,307447.36
000090,-191.08259159594354,27800.0,181162.5,27800.0,177700.8
000156,293.6148689745255,11370.0,124952.79999999999,11370.0,128621.59999999999
000158,-359.4988092823037,19653.0,200131.40000000002,19653.0,192936.69999999998
000301,-64.33823529411798,34000.0,184960.0,34000.0,183770.0
000400,-15.571510838766622,23700.0,313264.39999999997,23700.0,312776.6
000401,-18.846776780357956,21340.0,382118.39,21340.0,381398.22000000003
000402,-23.510853972809052,61704.0,415084.88,61704.0,414108.9799999999
000415,140.79785450888284,45600.0,143184.0,45600.0,145200.0
000488,-38.56617537146057,23800.0,117071.5,23800.0,116620.0
000501,-70.63882416354473,14638.0,209122.96000000002,14638.0,207645.74000000002
000513,35.22930016179649,13565.0,546800.53,13565.0,548726.87
000519,-90.6112124976044,14000.0,128331.8,14000.0,127168.97
000528,-18.82985249169966,23000.0,149815.3,23000.0,149533.2
000537,149.78726609147452,9600.0,64794.56,9600.0,65765.1
000543,-25.12953867723766,59650.0,233231.5,59650.0,232645.4
000547,47.74171948832784,30150.0,445051.00000000006,30150.0,447175.75
000553,-6.542936472140326,19130.0,177596.09999999998,19130.0,177479.9
000559,-43.24794045005187,27420.0,134179.8,27420.0,133599.5
000563,26.48142061964398,43320.0,153352.8,43320.0,153758.9
000581,-145.45669423109865,10920.0,219659.88,10920.0,216464.78000000003
000598,-6.866290970589661,43805.0,208555.1,43805.0,208411.89999999997
000600,-5.098859414379708,12600.0,61582.4,12600.0,61550.99999999999
000623,12.219891422446949,20625.0,318808.06999999995,20625.0,319197.64999999997
000629,-247.52475247524774,77200.0,155944.0,77200.0,152084.0
000630,-101.06282891869101,135900.0,262219.06,135900.0,259569.0
000636,-187.97345571880618,18840.0,518514.7,18840.0,508768.0
